title,Authors,Author Affiliations,source_title,Date Added To Xplore,year,volume,Issue,page_start,page_end,abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,author_keywords,index_keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Image Processing in Crop Quality Assessment and Disease Detection of Okra Using CNN with U- NET,P. Rawat; K. Gupta,"CSE, UIE, Chandigarh University, Mohali, Punjab, India; CSE, UIE, Chandigarh University, Mohali, Punjab, India","2025 International Conference on Sustainability, Innovation & Technology (ICSIT)",19 Dec 2025,2025,,,1,5,"Okra (Lady finger), an important vegetable crop in India, is frequently plagued by leaf diseases, which reduce yield and affect crop quality. Manual testimony of such diseases is time-taking and inclined to human error, particularly in rural locations where specialist resources are scarce. To solve this issue, this study presents a Custom CNN with U-Net for detecting and classifying okra leaf disease in high-resolution RGB images. A dataset of 1,500 images covering six classes, including healthy leaves and five major disease kinds, was used. The methodology covers data preparation, augmentation, and classification with custom CNN. The classifier achieved 0.99% AUC with overall test accuracy of 88%, with strong class-wise performance as evidenced by the confusion matrix and classification report. ROC analysis also revealed good separability across all classes, indicating the model's resilience. In addition to classification, a U-Net architecture was developed for segmentation and estimating future severity levels. Visualization of predictions revealed a close match between expected and real labels, confirming the model's reliability. This study emphasizes the utility of CNN and U-Net techniques. Future research will look into real-time deployment on edge devices and the integration of severity grading using lesion segmentation to better crop health management.",,979-8-3315-3549-0,10.1109/ICSIT65336.2025.11293878,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11293878,CNN;classification;U-Net;Image segementation;Okra;Crop Quality,Accuracy;Image edge detection;Crops;Predictive models;Real-time systems;Quality assessment;Convolutional neural networks;Diseases;Synthetic data;Resilience,,,,16,IEEE,19 Dec 2025,22-23 Aug. 2025,22-23 Aug. 2025,IEEE,IEEE Conferences
Branching Out: A Simple 5-Level Classification of Magnolia Scale Diseases Using a Combination of CNN and DT Models,R. Sharma; M. Nagpal,"Centre for Research Impact & Outcome, Chitkara University Institute of Engineering and Technology, Chitkara University, Rajpura, Punjab, India; Chitkara Centre for Research and Development, Chitkara University, Himachal Pradesh, India",2024 5th IEEE Global Conference for Advancement in Technology (GCAT),20 Mar 2025,2024,,,1,5,"Checking and sorting Magnolia Scale diseases is very important for keeping plants healthy and making sure they get the best crop output in farming. In this work, introduce a new mix using Convolutional Neural Networks (CNN) and Decision Trees (DT). It helps to sort Magnolia Scale diseases into five agreed severity levels. The mix of CNN and DT models does well. It gets 96 out of 100 right at guessing how bad the infestation with the Magnolia Scale is. Using what’s known as transfer learning, the CNN part takes important features from an existing deep learning system. Then it adjusts these learned features to special traits of a set of Magnolia Scale images for disease identification after fine-tuning. After that, adding the results from a process called CNN into a group of choices helps make the model better. It also makes it strong and gives exact levels for how serious something is. Accuracy measurements such as precision, recall, and F1-scores above 90% across all disease severity levels show that the model is dependable and accurate in spotting different stages of illnesses. The research shows that the mixed model can be very important in disease control plans for gardening. It provides accurate and sure evaluation skills needed to find diseases early on so action can be taken quickly. This study sets the building blocks for improving ways of checking diseases and it looks promising to change disease control methods in plants outside Magnolia. This could improve plant health and make farming more sustainable without just thinking about Magnolia flowers.",,979-8-3503-7668-5,10.1109/GCAT62922.2024.10923907,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10923907,Magnolia Scale;Disease severity classification;Convolutional Neural Networks;Hybrid models;Horticulture;Plant disease assessment,Plant diseases;Accuracy;Transfer learning;Medical services;Real-time systems;Convolutional neural networks;Reliability;Diseases;Farming;Sorting,,,,16,IEEE,20 Mar 2025,4-6 Oct. 2024,4-6 Oct. 2024,IEEE,IEEE Conferences
Classification and Detection of Apple Leaf Disease Using DenseNet201 and YOLOV8,V. Parisae; D. Yushmanth; N. M. Sree; G. Manyasri; C. Jannu; G. S. S. Rao,"Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India; Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India; Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India; Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India; Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India; Department of CSE-Data Science, NRI Institute of Technology, Agiripalli, AP, India",2025 9th International Conference on Inventive Systems and Control (ICISC),13 Oct 2025,2025,,,70,77,"Globally, plant diseases severely reduce crop output, consequently affecting agricultural productivity. Lots of specialist expertise makes it tough to detect those issues. The usage of leaf pictures, deep learning-primarily based models present interesting answers; despite the fact that, problems including the call for more extensive training sets and computational complexity remain unresolved. We propose a convolutional neural network (CNN) with much less layers to address this, consequently lowering computational load. The training set is expanded using augmentation methods along with shift, shear, scaling, zoom, and flipping without gathering fresh snap shots. Since about half of the world's populace relies upon on agriculture, raising production by way of 50–60 % is absolutely crucial, mainly in areas experiencing fast population growth. Apple crop output in India suffers no matter an increasing location of cultivation yield has hardly ever modified. A chief apple-producing state, Himachal Pradesh, suffers significantly in fruit quality from fungal infections. Our work tackles those issues via the use of YOLO series models for effective disease detection in apples and deep learning models together with pre-trained ones to handle timeliness and accuracy of disease diagnosis is guaranteed through using picture processing and artificial intelligence. This era should rework apple plant disease detection, consequently improving food security all round. Brief intervention facilitates farmers protect their plants and guarantee higher yields, there-fore contributing to the general meals security for the rising world population.",,979-8-3315-1247-7,10.1109/ICISC65841.2025.11188291,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11188291,Apple diseases;classification;convolutional neu-ral network;deep learning;disease detection;image processing;machine learning,Deep learning;Training;YOLO;Plant diseases;Image processing;Food security;Crops;Agriculture;Real-time systems;Convolutional neural networks,,,,30,IEEE,13 Oct 2025,12-13 Aug. 2025,12-13 Aug. 2025,IEEE,IEEE Conferences
AI-Driven Gardening Assistant: Intelligent Plant Care and Disease Detection Using AI,K. Sumithra Devi; M. Santhosh,"Department of Computer Science and Engineering, KCG College of Technology, KCG College Rd, Karapakkam, Chennai, India; Department of Computer Science and Engineering, KCG College of Technology, KCG College Rd, Karapakkam, Chennai, India","2025 8th International Conference on Circuit, Power & Computing Technologies (ICCPCT)",9 Oct 2025,2025,,,1158,1162,"The popularity of terrace and backyard gardening heightened the demand for smart, AI-enabled plant care and disease control. Here is presented the AI-Driven Gardening Assistant, an end-to-end solution that leverages computer vision and deep learning techniques for plant species identification, disease identification, and personalized care instructions. The assistant uses the YOLO algorithm, which is trained on a very large, augmented dataset covering multiple crop species, to ensure high-accuracy detection in diverse environmental conditions. A Retrieval-Augmented Generation (RAG) engine also powers an interactive chatbot through which users can ask expert, context-specific gardening advice from a highly curated knowledge base. Other than disease treatment, the assistant gives advice on terrace gardening methods and prevention. System implementation, deployment, and testing results are stated, and they indicate how the system can be applied to optimize terrace gardening using available AI-based assistance.",,979-8-3315-4317-4,10.1109/ICCPCT65132.2025.11176616,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11176616,Terrace gardening;Deep Learning;Computer vision;YOLO;Retrieval-Augmented Generation (RAG),YOLO;Deep learning;Computer vision;Accuracy;Retrieval augmented generation;Chatbots;Real-time systems;System implementation;Diseases;Testing,,,,15,IEEE,9 Oct 2025,7-8 Aug. 2025,7-8 Aug. 2025,IEEE,IEEE Conferences
Roses Plant Disease Detection using DenseNet121 Model,L. R. Chaudhari; A. V. Tidke; P. S. Gupta; P. Patel; S. Hudnurkar,"Instrumentation Engineering, Dr. D.YPatil Institute of Technology, Savitribai Phule Pune University; Instrumentation Engineering, Dr. D.YPatil Institute of Technology, Savitribai Phule Pune University; Instrumentation Engineering, Dr. D.YPatil Institute of Technology, Savitribai Phule Pune University; Instrumentation Engineering, Dr. D.YPatil Institute of Technology, Savitribai Phule Pune University; Symbiosis Institute of Technology, Symbiosis International (Deemed University) Ganesh Khind University Pune University Campus, Pune, Maharashtra, India",2024 International Conference on Intelligent Systems and Advanced Applications (ICISAA),15 Jan 2025,2024,,,1,5,"Roses diseases pose a significant threat to horticultural productivity, necessitating early detection and intervention for effective management. This research proposes the development of a web-based application leveraging Deep Learning (DL) methodologies to facilitate rapid and accurate disease identification in roses. The application will employ a pre-trained Convolutional Neural Network (CNN) model, DenseNet121, fine-tuned on a curated dataset of rose disease images through transfer learning. Users will be able to upload images of their plants via the web interface, which will then be analyzed by the DenseNet121 model to identify potential diseases. This DL-powered tool aims to empower gardeners and horticulturists with a user-friendly platform for early disease detection and proactive management, ultimately contributing to healthier rose cultivation practices. The research will investigate the effectiveness of DenseNet121 for detecting rose diseases, assess the accuracy of the web application across various disease types, and explore the practical implications of integrating such a tool into real-world horticultural settings.",,979-8-3315-3994-8,10.1109/ICISAA62385.2024.10828973,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10828973,Deep Learning;DenseNet121;CNN;Agriculture;Web Application;Streamlit,Deep learning;Productivity;Plant diseases;Accuracy;Scalability;Transfer learning;Real-time systems;Robustness;Convolutional neural networks;Intelligent systems,,2,,10,IEEE,15 Jan 2025,25-26 Oct. 2024,25-26 Oct. 2024,IEEE,IEEE Conferences
An Extensive Evaluation of Plant Disease Detection Using Diverse Machine Learning Approaches,F. Suthar; K. Padhya; R. Joshi; S. Parikh; A. Panthakkan; W. Mansoor,"A.M.Patel Institute of Computer, Ganpat University Mehsana, India; A.M.Patel Institute of Computer, Ganpat University Mehsana, India; A.M.Patel Institute of Computer, Ganpat University Mehsana, India; A.M.Patel Institute of Computer, Ganpat University Mehsana, India; University of Dubai, Dubai, United Arab Emirates; University of Dubai, Dubai, United Arab Emirates",2023 6th International Conference on Signal Processing and Information Security (ICSPIS),12 Dec 2023,2023,,,151,155,"Plant sicknesses fundamentally affect horticultural efficiency and food security. In order to minimize widespread damage and maximize crop yield, it is essential to detect these diseases promptly and accurately. Automating the process of detecting plant diseases has been shown to be a promising application of machine learning techniques in recent years. This study presents a comprehensive analysis of various machine learning techniques applied to the task of plant disease detection. This study investigates the use of different AI procedures for plant illness recognition. Convolutional neural networks (CNNs), support vector machines (SVMs), random forests, and k-nearest neighbors (KNNs) are just a few of the algorithms that are compared in this study. Feature extraction from diseased plant images is the first step in our experiment, followed by model training and validation. The results demonstrate the efficacy of machine learning in accurately identifying plant diseases based on visual symptoms. The findings provide insights into the strengths and limitations of each technique, paving the way for further research in automated and precise plant disease diagnosis to enhance agricultural sustainability.",2831-3844,979-8-3503-2959-9,10.1109/ICSPIS60075.2023.10343735,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343735,Agriculture;Plant diseases detection;Machine learning methods;CNN;KNN;SVM,Support vector machines;Training;Productivity;Plant diseases;Visualization;Signal processing;Real-time systems,,1,,22,IEEE,12 Dec 2023,8-9 Nov. 2023,8-9 Nov. 2023,IEEE,IEEE Conferences
Literature Review of Disease Detection in Tomato Leaf using Deep Learning Techniques,H. E. David; K. Ramalakshmi; H. Gunasekaran; R. Venkatesan,"Department of Computer Science Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India; Department of Computer Science Engineering, Alliance University, Bangalore, India; IT Department, University of Technology and Applied Sciences, Oman; Department of Computer Science and Engineering, Karunya Institute of Technology and Sciences, Coimbatore, India",2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),3 Jun 2021,2021,1,,274,278,"Tomatoes are the most common vegetable crop widely cultivated in the agricultural fields in India. The tropical climate is ideal for its growth, however certain climatic conditions and various other factors affect the normal growth of tomato plants. Apart from these climatic conditions and natural disasters, plant disease is a major crisis in crop production and results in economic loss. The traditional disease detection methods for tomato crops could not produce the expected outcome and the detection period for diseases was slow. The early detection of diseases can give better results than the existing detection models. Thus, computer vision-based technology deep learning techniques could be implemented for earlier disease detection. This paper introduces a comprehensive analysis of the disease classification and detection techniques implied for tomato leaf disease identification. This paper also reviews the merits and drawbacks of the methodologies proposed. This paper finally proposes the early disease detection technique to identify tomato leaf disease using hybrid deep-learning architecture.",2575-7288,978-1-6654-0521-8,10.1109/ICACCS51430.2021.9441714,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9441714,Tomato Leaf Disease;Leaf Disease Detection;Machine Learning;Deep Learning;CNN;Hybrid CNN-RNN,Deep learning;Biological system modeling;Computational modeling;Computer architecture;Production;Agriculture;Real-time systems,,31,,31,IEEE,3 Jun 2021,19-20 March 2021,19-20 March 2021,IEEE,IEEE Conferences
Fusion classification technique used to detect downy and Powdery Mildew grape leaf diseases,P. B. Padol; S. D. Sawant,"Dept. of Electronics & Telecommunication, Smt. Kashibai Navale College of Engineering, Pune, India; National Research Center for Grapes, Pune, India","2016 International Conference on Global Trends in Signal Processing, Information Computing and Communication (ICGTSPICC)",26 Jun 2017,2016,,,298,301,"Grape constitutes one of the most widely grown fruit crop in the India. Manual observation of experts is used in practice for detection of leaf diseases, which takes more time for further control action. Without accurate disease diagnosis, proper control actions cannot be taken at appropriate time. This is where modern agriculture technique is required to detect and prevent the leaf from different diseases. This paper aims to introduce a new approach for detection of grape leaf diseases using image processing, which will minimize the loss and increase its profit due to automation. In this system, classification is done using Support Vector Machine (SVM) and Artificial Neural Network (ANN) classifies separately. A new classifier is proposed using fusion classification technique which ensembles classifiers from SVM and ANN to regenerate base classifier for grape leaf disease detection. Based on detection of disease the proper mixture of fungicides will be provided to the grape farmers.",,978-1-5090-0467-6,10.1109/ICGTSPICC.2016.7955315,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7955315,Image Processing;Leaf diseases detection;K-means clustering;Support Vector Machine (SVM);Artificial Neural Network (ANN);Fusion Classification Technique,Diseases;Pipelines;Support vector machines;Image color analysis;Feature extraction;Image segmentation;Artificial neural networks,,27,,10,IEEE,26 Jun 2017,22-24 Dec. 2016,22-24 Dec. 2016,IEEE,IEEE Conferences
An Overall Disease Analysis of Mango Using Neural Network with Hybrid Feature model,J. Kaur; A. K. Sharma; M. Kaushal; A. Badhoutiya; N. Reddy; A. Alkhayyat,"Department of ECE, Chandigarh Engineering College, Jhanjeri, Mohali, India; Department of Applied Sciences, Chandigarh Engineering College, Jhanjeri, Mohali, India; Dean Professional Studies and Dean Corporate Affairs, Gulzar Group of Institutes, Khanna, Punjab, India; Department of Electrical Engineering, GLA University, Mathura, India; Department of Computer Science & Engineering, IES College of Technology, Bhopal, IES University, Bhopal, India; College of Technical Engineering, The Islamic University, Najaf, Iraq",2023 IEEE World Conference on Applied Intelligence and Computing (AIC),2 Oct 2023,2023,,,119,124,"Mango is a highly valued fruit crop, with arable land covering about 36% of the total fruit area. With roughly 23% of the total area under mango, Uttar Pradesh and Andhra Pradesh lead the way, followed by Tamil Nadu, Karnataka, Gujarat, and Bihar. Global food security is affected a lot due to crop plant diseases. These diseases directly affect the quality of food, fruits, etc., resulting in a fall in agricultural productivity. Farmers must assess the leaf, fruit, or tree through visual interpretation to determine whether any fruit crop part is contaminated or blooming properly. But this traditional technique has its limitations; it is inconsistent, unreliable, and prone to mistakes. Researchers have proposed a variety of techniques for resolving the above-stated issues. Most of them preferred the modelling of convolutional neural network models according to problem areas by giving low-resolution images as input, resulting in low disease detection accuracy. In this work, we use an artificial neural network (ANN) technique with the objective of early detection of disease in any part of the fruit crop with tiny disease blobs that can only be seen with better resolution images. All the contaminated blobs are segmented for the entire dataset after a pre-processing phase using a contrast enhancement approach.",,979-8-3503-1006-1,10.1109/AIC57670.2023.10263945,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10263945,convolutional neural network;enhancement;resolution;image classification;feature selection,Productivity;Visualization;Image segmentation;Plant diseases;Image resolution;Crops;Pattern recognition,,,,16,IEEE,2 Oct 2023,29-30 July 2023,29-30 July 2023,IEEE,IEEE Conferences
Intelligent Recognition of Leaf Abnormalities Using Deep Learning Method,A. M N; P. P S; P. K; D. R H; Kiran; S. C N,"Dept. of Electronics & Communication, BGS Institute of Technology, Mandya, India; Dept. of Electronics & Communication, BGS Institute of Technology, Mandya, India; Dept. of Electronics & Communication, BGS Institute of Technology, Mandya, India; Dept. of Electronics & Communication, BGS Institute of Technology, Mandya, India; Dept. of Electronics & Communication, Vidyavardhaka College of Engineering, Mysuru, India; Dept. of Electronics & Communication, BGS Institute of Technology, Mandya, India",2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET),8 Feb 2024,2023,,,1,5,"Deep Neural Networks (DNNs) have significantly improved the detection of different diseases affecting plants. The impact of unidentified and untreated plant diseases is to reduce crop yield significantly, as they negatively affect the quality and quantity of horticultural and agricultural products. Therefore, early recognition of plant diseases is essential for improving crop quality and reducing production losses. To this end, a modern framework has been developed that incorporates image acquisition and analysis, utilizing DNN models to calculate various evaluation metrics such as Recall, F1 scaling, accuracy, and precision. By diversifying the results, it becomes possible to differentiate between healthy and bacterial plant leaves. The proposed methodology has been tested on two types of plants - pepper, and potato - and can determine the percentage of infection on plant leaves.",,979-8-3503-0692-7,10.1109/ICRASET59632.2023.10420037,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420037,Deep Neural Networks (DNNs);Plant Leaf;Potato Plant Leaf;Pepper Plant Leaf;Image Acquisition;Classification,Deep learning;Plant diseases;Microorganisms;Insects;Artificial neural networks;Production;Soil,,4,,20,IEEE,8 Feb 2024,23-24 Nov. 2023,23-24 Nov. 2023,IEEE,IEEE Conferences
Optimizing Vegetable Yield Forecasting with Machine Learning Using Soil and Weather Data,S. Chavan; D. R. Ingle,"Department of Computer Engineering, Bharati Vidyapeeth College of Engineering, Navi Mumbai, India; Department of Computer Engineering, Bharati Vidyapeeth College of Engineering, Navi Mumbai, India",2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Application (ICAIQSA),21 Feb 2025,2024,,,1,6,"The majority of people in India depend mostly on agriculture for their livelihood, which also contributes substantially to the country's economy. However, there is still room for improvement and expansion in the agricultural sector's use of technology. Because they can handle huge datasets, recognize patterns, and make predictions or classifications without being specifically trained for each circumstance, machine learning and deep learning have transformed research in numerous domains Accurate and helpful information on many topics is also crucial in farming, in addition to improvements in agricultural apparatus and technology. Remote sensors, satellite photos, and surveys are used to gather this data. Vegetable farming plays a crucial role in meeting the growing global demand for nutritious food. However, unpredictable weather patterns and suboptimal soil conditions can often hinder crop yields, posing significant challenges for farmers. This study aims to address this issue by using machine learning techniques to analyze soil properties, weather patterns, and crop data to provide tailored suggestions for crop selection, which can ultimately increase vegetable yields and promote sustainable farming practices. The research methodology involved collecting extensive data from diverse vegetable farms, including soil samples, weather records, and crop performance metrics over multiple seasons. Using machine learning algorithms, this dataset was processed to develop predictive models that assess the impact of various soil characteristics and weather factors on crop growth and productivity. The developed models were validated on a separate dataset, and the results demonstrated their high accuracy and reliability. The findings of this study suggest that machine learning can be a valuable tool for vegetable farmers to make informed decisions about crop management, leading to increased yields and improved sustainability.",,979-8-3315-1795-3,10.1109/ICAIQSA64000.2024.10882354,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882354,SVM;KNN;Logistic Regression;random forest;Prediction;Machine learning,Support vector machines;Accuracy;Machine learning algorithms;Crops;Predictive models;Prediction algorithms;Forecasting;Random forests;Crop yield;Farming,,,,19,IEEE,21 Feb 2025,20-21 Dec. 2024,20-21 Dec. 2024,IEEE,IEEE Conferences
